participant_id,name,age,gender,education,district,taluka,family_income,below_poverty_line,course_enrolled,training_center_id,enrollment_date,current_status,assessment_score,certified,certification_date,placement_status,company_name,job_role,salary_offered,placement_date,job_location,training_satisfaction,would_recommend
PART_00061,Arun Kulkarni 15,20,Other,Graduate,Mumbai,Taluka_6,3-5 Lakhs,Yes,Medical Lab Technology,TC_0039,2025-04-14,Dropped Out,,No,,Not Applicable,,,,,,,
PART_00062,Manoj Tiwari 18,29,Female,Diploma,Parbhani,Taluka_10,3-5 Lakhs,No,Food Processing,TC_0362,2026-05-22,Ongoing,,No,,Not Applicable,,,,,,3.0,No
PART_00063,Rajesh Kumar 47,32,Female,10th Pass,Bhiwandi,Taluka_5,1-3 Lakhs,No,CNC Operation,TC_0173,2025-10-11,Ongoing,,No,,Not Applicable,,,,,,3.0,Maybe
PART_00064,Rajesh Kumar 69,29,Other,10th Pass,Nagpur,Taluka_6,3-5 Lakhs,No,Accounting & GST,TC_0354,2026-01-18,Certified,97.0,Yes,2026-04-19,Not Placed,,,,,,,
PART_00065,Kavita Rao 48,24,Female,12th Pass,Jalgaon,Taluka_5,1-3 Lakhs,Yes,Full Stack Development,TC_0335,2025-08-22,Assessed,66.0,No,,Not Applicable,,,,,,,
PART_00066,Rajesh Kumar 22,36,Female,Diploma,Jalna,Taluka_1,3-5 Lakhs,No,Mobile Repair,TC_0355,2026-07-22,Ongoing,,No,,Not Applicable,,,,,,2.0,Yes
PART_00067,Mohan Rao 45,23,Male,10th Pass,Parbhani,Taluka_9,Above 10 Lakhs,No,Food Processing,TC_0443,2025-04-03,Completed,83.0,No,,Self Employed,,,,,,4.0,No
PART_00068,Rahul Verma 5,23,Other,Graduate,Dhule,Taluka_6,1-3 Lakhs,No,Cloud Computing,TC_0282,2026-08-16,Assessed,62.0,No,,Not Applicable,,,,,,,
PART_00069,Prakash More 60,37,Male,Graduate,Aurangabad,Taluka_2,3-5 Lakhs,No,Welding Technology,TC_0326,2025-08-30,Dropped Out,,No,,Not Applicable,,,,,,,
PART_00070,Geeta Sawant 46,29,Male,Diploma,Thane,Taluka_1,Above 10 Lakhs,Yes,Warehouse Management,TC_0207,2026-03-10,Ongoing,,No,,Not Applicable,,,,,,1.0,Maybe
PART_00071,Prakash More 70,18,Female,Post Graduate,Mumbai,Taluka_9,Below 1 Lakh,Yes,Customer Service,TC_0395,2025-05-12,Assessed,84.0,No,,Not Applicable,,,,,,,
PART_00072,Suresh Yadav 56,18,Male,10th Pass,Thane,Taluka_2,3-5 Lakhs,No,Mobile Repair,TC_0121,2025-05-04,Certified,91.0,Yes,2025-08-10,Placed,PhonePe,Machine Learning Engineer,50695.0,2025-09-27,Akola,,
PART_00073,Sanjay Gupta 90,37,Other,12th Pass,Nanded,Taluka_4,Above 10 Lakhs,Yes,CNC Operation,TC_0129,2025-01-20,Completed,58.0,No,,Not Placed,,,,,,4.0,Maybe
PART_00074,Manoj Tiwari 36,35,Female,Graduate,Nagpur,Taluka_6,Above 10 Lakhs,Yes,Full Stack Development,TC_0059,2025-11-03,Ongoing,,No,,Not Applicable,,,,,,5.0,No
PART_00075,Ashok Pawar 14,32,Other,12th Pass,Mumbai,Taluka_5,1-3 Lakhs,Yes,Cloud Computing,TC_0098,2026-06-01,Certified,96.0,Yes,2026-10-10,Placed,HDFC Bank,Digital Marketing Executive,56723.0,2026-10-11,Raigad,,
PART_00076,Kavita Rao 92,21,Female,12th Pass,Jalgaon,Taluka_6,Above 10 Lakhs,No,Digital Marketing,TC_0452,2026-05-05,Ongoing,,No,,Not Applicable,,,,,,2.0,Yes
PART_00077,Kavita Rao 49,27,Male,10th Pass,Latur,Taluka_3,3-5 Lakhs,No,Medical Lab Technology,TC_0492,2025-09-19,Ongoing,,No,,Not Applicable,,,,,,4.0,Maybe
PART_00078,Mohan Rao 61,22,Other,10th Pass,Parbhani,Taluka_10,1-3 Lakhs,No,CNC Operation,TC_0165,2026-08-13,Ongoing,,No,,Not Applicable,,,,,,4.0,Yes
PART_00079,Manoj Tiwari 93,35,Other,Post Graduate,Solapur,Taluka_8,3-5 Lakhs,Yes,Digital Marketing,TC_0157,2026-07-21,Certified,88.0,Yes,2027-01-13,Placed,Flipkart,Supply Chain Analyst,16806.0,2027-04-11,Kolhapur,,
PART_00080,Manoj Tiwari 36,40,Female,Diploma,Chandrapur,Taluka_7,Below 1 Lakh,Yes,Beauty & Wellness,TC_0072,2026-05-26,Completed,83.0,No,,Self Employed,,,,,,3.0,No
PART_00081,Neha Dubey 26,28,Female,Graduate,Chandrapur,Taluka_9,Below 1 Lakh,Yes,Automotive Mechanic,TC_0089,2026-03-18,Assessed,40.0,No,,Not Applicable,,,,,,,
PART_00082,Rekha Pillai 38,35,Female,Post Graduate,Nanded,Taluka_4,3-5 Lakhs,Yes,Customer Service,TC_0369,2026-07-20,Assessed,68.0,No,,Not Applicable,,,,,,,
PART_00083,Sunita Kaur 15,40,Other,Graduate,Latur,Taluka_6,Above 10 Lakhs,Yes,Electrician Training,TC_0155,2025-09-23,Ongoing,,No,,Not Applicable,,,,,,2.0,Yes
PART_00084,Dinesh Shinde 26,21,Male,Diploma,Parbhani,Taluka_10,Below 1 Lakh,No,Welding Technology,TC_0251,2025-09-28,Completed,83.0,No,,Placed,Cognizant,Customer Support Specialist,66468.0,,Satara,4.0,No
PART_00085,Meera Nair 43,39,Other,12th Pass,Chandrapur,Taluka_4,5-10 Lakhs,Yes,Full Stack Development,TC_0133,2025-04-28,Ongoing,,No,,Not Applicable,,,,,,5.0,Yes
PART_00086,Sunita Kaur 89,26,Male,Diploma,Thane,Taluka_9,3-5 Lakhs,Yes,Electrician Training,TC_0269,2025-03-02,Completed,41.0,No,,Placed,TCS,Pharmacy Assistant,49433.0,,Osmanabad,4.0,No
PART_00087,Vikram Singh 35,18,Other,12th Pass,Jalna,Taluka_4,1-3 Lakhs,Yes,Full Stack Development,TC_0345,2026-08-15,Completed,53.0,No,,Placed,Siemens,DevOps Engineer,51581.0,,Satara,2.0,No
PART_00088,Rekha Pillai 4,44,Male,Graduate,Chandrapur,Taluka_3,Below 1 Lakh,Yes,Beauty & Wellness,TC_0251,2025-03-19,Assessed,68.0,No,,Not Applicable,,,,,,,
PART_00089,Rekha Pillai 30,41,Male,Graduate,Jalgaon,Taluka_4,5-10 Lakhs,Yes,Accounting & GST,TC_0276,2026-01-27,Dropped Out,,No,,Not Applicable,,,,,,,
PART_00090,Priya Sharma 29,30,Male,Post Graduate,Kolhapur,Taluka_4,Above 10 Lakhs,No,Welding Technology,TC_0082,2026-08-22,Ongoing,,No,,Not Applicable,,,,,,2.0,Yes
PART_00091,Kavita Rao 75,20,Other,Diploma,Ahmednagar,Taluka_2,5-10 Lakhs,Yes,Full Stack Development,TC_0027,2025-07-18,Completed,63.0,No,,Placed,Mahindra & Mahindra,Digital Marketing Executive,36077.0,,Bhiwandi,5.0,No
PART_00092,Usha Menon 75,39,Female,Diploma,Parbhani,Taluka_3,Above 10 Lakhs,No,Automotive Mechanic,TC_0464,2026-07-04,Assessed,98.0,No,,Not Applicable,,,,,,,
PART_00093,Laxmi Hegde 88,24,Male,Post Graduate,Amravati,Taluka_10,Below 1 Lakh,Yes,Cloud Computing,TC_0168,2026-05-19,Completed,80.0,No,,Self Employed,,,,,,1.0,Maybe
PART_00094,Rahul Verma 90,31,Male,Graduate,Aurangabad,Taluka_3,Above 10 Lakhs,No,Electrician Training,TC_0242,2025-08-27,Certified,44.0,Yes,2025-11-26,Not Placed,,,,,,,
PART_00095,Prakash More 17,19,Female,Post Graduate,Thane,Taluka_7,Below 1 Lakh,Yes,Medical Lab Technology,TC_0128,2026-03-16,Certified,75.0,Yes,2026-08-23,Not Placed,,,,,,,
PART_00096,Preeti Chopra 48,33,Other,10th Pass,Thane,Taluka_6,Above 10 Lakhs,No,Customer Service,TC_0056,2026-08-06,Ongoing,,No,,Not Applicable,,,,,,2.0,Maybe
PART_00097,Kavita Rao 84,25,Other,10th Pass,Aurangabad,Taluka_7,5-10 Lakhs,Yes,Medical Lab Technology,TC_0071,2026-03-30,Assessed,97.0,No,,Not Applicable,,,,,,,
PART_00098,Rahul Verma 73,41,Other,Post Graduate,Dhule,Taluka_7,5-10 Lakhs,Yes,Full Stack Development,TC_0296,2025-03-11,Completed,99.0,No,,Placed,Flipkart,Electrician,67014.0,,Amravati,5.0,Maybe
PART_00099,Amit Patel 85,32,Female,Graduate,Chandrapur,Taluka_4,3-5 Lakhs,Yes,Welding Technology,TC_0067,2025-01-11,Assessed,57.0,No,,Not Applicable,,,,,,,
PART_00100,Rekha Pillai 85,39,Other,12th Pass,Mumbai,Taluka_2,Above 10 Lakhs,Yes,Warehouse Management,TC_0295,2025-01-29,Assessed,57.0,No,,Not Applicable,,,,,,,
PART_00101,Nitin Bhosale 68,23,Female,10th Pass,Jalna,Taluka_4,1-3 Lakhs,No,Mobile Repair,TC_0240,2025-05-31,Completed,83.0,No,,Self Employed,,,,,,1.0,Maybe
PART_00102,Ramesh Jadhav 3,21,Female,Graduate,Amravati,Taluka_5,1-3 Lakhs,No,Welding Technology,TC_0479,2025-06-27,Completed,76.0,No,,Self Employed,,,,,,5.0,Maybe
PART_00103,Rajesh Kumar 79,18,Other,10th Pass,Akola,Taluka_2,5-10 Lakhs,No,Mobile Repair,TC_0068,2025-05-11,Completed,66.0,No,,Not Placed,,,,,,4.0,No
PART_00104,Pooja Joshi 53,26,Male,Post Graduate,Nanded,Taluka_5,Below 1 Lakh,No,Welding Technology,TC_0128,2026-01-02,Dropped Out,,No,,Not Applicable,,,,,,,
PART_00105,Mohan Rao 24,38,Male,12th Pass,Bhiwandi,Taluka_1,Below 1 Lakh,No,Food Processing,TC_0189,2025-04-19,Ongoing,,No,,Not Applicable,,,,,,4.0,No
PART_00106,Rekha Pillai 57,42,Male,12th Pass,Sangli,Taluka_4,5-10 Lakhs,No,Mobile Repair,TC_0145,2026-03-25,Dropped Out,,No,,Not Applicable,,,,,,,
PART_00107,Laxmi Hegde 85,27,Other,Graduate,Jalgaon,Taluka_1,1-3 Lakhs,Yes,Beauty & Wellness,TC_0010,2025-09-30,Ongoing,,No,,Not Applicable,,,,,,1.0,Maybe
PART_00108,Prakash More 14,28,Other,12th Pass,Ahmednagar,Taluka_7,3-5 Lakhs,Yes,Food Processing,TC_0018,2025-09-10,Completed,92.0,No,,Self Employed,,,,,,5.0,No
PART_00109,Kavita Rao 78,39,Male,Post Graduate,Dhule,Taluka_4,1-3 Lakhs,Yes,Digital Marketing,TC_0312,2025-09-23,Certified,80.0,Yes,2026-02-03,Not Placed,,,,,,,
PART_00110,Anil Kamble 49,25,Other,Diploma,Solapur,Taluka_4,Above 10 Lakhs,No,Cloud Computing,TC_0090,2025-09-08,Ongoing,,No,,Not Applicable,,,,,,1.0,No
PART_00111,Sneha Deshmukh 78,25,Female,Graduate,Pune,Taluka_7,Below 1 Lakh,No,Data Analytics,TC_0480,2025-03-24,Ongoing,,No,,Not Applicable,,,,,,1.0,No
PART_00112,Anil Kamble 50,38,Other,Post Graduate,Solapur,Taluka_5,Below 1 Lakh,Yes,Automotive Mechanic,TC_0437,2025-12-15,Ongoing,,No,,Not Applicable,,,,,,2.0,No
PART_00113,Vikram Singh 58,43,Female,12th Pass,Pune,Taluka_8,Above 10 Lakhs,No,Welding Technology,TC_0325,2026-04-19,Completed,69.0,No,,Self Employed,,,,,,1.0,Yes
PART_00114,Sanjay Gupta 44,30,Female,Post Graduate,Dhule,Taluka_8,Below 1 Lakh,No,Retail Management,TC_0212,2025-10-11,Certified,76.0,Yes,2026-02-07,Self Employed,,,,,,,
PART_00115,Amit Patel 60,28,Other,10th Pass,Parbhani,Taluka_9,5-10 Lakhs,Yes,Data Analytics,TC_0444,2025-06-09,Ongoing,,No,,Not Applicable,,,,,,5.0,Maybe
PART_00116,Neha Dubey 22,35,Male,Graduate,Pune,Taluka_3,3-5 Lakhs,Yes,Retail Management,TC_0135,2025-10-26,Completed,95.0,No,,Further Studies,,,,,,1.0,Yes
PART_00117,Anjali Reddy 23,19,Male,12th Pass,Bhiwandi,Taluka_3,Below 1 Lakh,No,Full Stack Development,TC_0324,2026-08-11,Certified,49.0,Yes,2027-01-15,Self Employed,,,,,,,
PART_00118,Sunita Kaur 25,32,Male,Post Graduate,Nanded,Taluka_8,1-3 Lakhs,No,Retail Management,TC_0124,2025-06-02,Dropped Out,,No,,Not Applicable,,,,,,,
PART_00119,Neha Dubey 29,39,Male,10th Pass,Nashik,Taluka_4,1-3 Lakhs,No,Welding Technology,TC_0062,2025-05-25,Completed,42.0,No,,Placed,IBM,DevOps Engineer,32731.0,,Nashik,4.0,No
PART_00120,Preeti Chopra 68,30,Male,10th Pass,Latur,Taluka_5,Above 10 Lakhs,Yes,Warehouse Management,TC_0233,2026-03-21,Dropped Out,,No,,Not Applicable,,,,,,,
PART_00121,Ashok Pawar 22,36,Male,12th Pass,Ahmednagar,Taluka_7,Above 10 Lakhs,Yes,Warehouse Management,TC_0460,2025-11-19,Completed,75.0,No,,Placed,Flipkart,Logistics Coordinator,78184.0,,Ahmednagar,5.0,Yes
PART_00122,Sanjay Gupta 71,23,Other,Post Graduate,Chandrapur,Taluka_3,3-5 Lakhs,Yes,Medical Lab Technology,TC_0358,2026-05-17,Completed,54.0,No,,Placed,HCL,Digital Marketing Executive,63950.0,,Solapur,4.0,Maybe
PART_00123,Suresh Yadav 97,37,Male,Post Graduate,Akola,Taluka_7,3-5 Lakhs,Yes,CNC Operation,TC_0332,2025-01-10,Ongoing,,No,,Not Applicable,,,,,,3.0,Maybe
PART_00124,Pooja Joshi 16,22,Female,Post Graduate,Amravati,Taluka_9,1-3 Lakhs,No,Data Analytics,TC_0200,2025-11-20,Certified,93.0,Yes,2026-03-28,Placed,Bajaj Finserv,Machine Learning Engineer,59004.0,2026-06-08,Raigad,,
PART_00125,Arun Kulkarni 35,21,Male,12th Pass,Amravati,Taluka_7,5-10 Lakhs,Yes,Mobile Repair,TC_0094,2026-01-12,Completed,42.0,No,,Self Employed,,,,,,5.0,Yes
PART_00126,Sunita Kaur 86,32,Male,12th Pass,Kolhapur,Taluka_10,3-5 Lakhs,No,CNC Operation,TC_0396,2025-01-16,Completed,89.0,No,,Placed,Amazon,Machine Operator,79999.0,,Pune,3.0,Yes
PART_00127,Kavita Rao 88,33,Male,Post Graduate,Parbhani,Taluka_10,Below 1 Lakh,No,Food Processing,TC_0371,2025-04-27,Completed,80.0,No,,Not Placed,,,,,,4.0,Maybe
